,latitude,longitude,frp,fire_range,geometry,is_in_africa,index_right,CELLCODE,EOFORIGIN,NOFORIGIN
693481,43.44457,4.90283,7.91,5-10,POINT (3907656.6713541313 2273608.8456070777),False,711907,1kmE3907N2273,3907000,2273000
696356,43.44728,4.89908,2.81,0-5,POINT (3907372.2893071235 2273929.2803258765),False,711907,1kmE3907N2273,3907000,2273000
696365,43.44639,4.90059,2.67,0-5,POINT (3907488.2209354565 2273822.509836016),False,711907,1kmE3907N2273,3907000,2273000
696579,43.44687,4.89601,3.67,0-5,POINT (3907120.878122695 2273900.8475250704),False,711907,1kmE3907N2273,3907000,2273000
696581,43.44485,4.89964,1.31,0-5,POINT (3907400.419604847 2273657.3894942026),False,711907,1kmE3907N2273,3907000,2273000
756207,43.44785,4.90002,5.86,5-10,POINT (3907452.4139156803 2273987.1544969142),False,711907,1kmE3907N2273,3907000,2273000
782199,43.44527,4.89529,3.06,0-5,POINT (3907051.261258648 2273727.826837246),False,711907,1kmE3907N2273,3907000,2273000
782200,43.44331,4.90266,1.41,0-5,POINT (3907633.996625589 2273470.401082479),False,711907,1kmE3907N2273,3907000,2273000
792533,43.44756,4.89853,2.06,0-5,POINT (3907329.7508114045 2273963.2845112705),False,711907,1kmE3907N2273,3907000,2273000
792534,43.44413,4.89731,3.66,0-5,POINT (3907206.7067279713 2273590.5841802014),False,711907,1kmE3907N2273,3907000,2273000
876480,43.44694,4.89829,5.15,5-10,POINT (3907305.933912564 2273896.023026442),False,711907,1kmE3907N2273,3907000,2273000
876482,43.44361,4.89738,4.26,0-5,POINT (3907208.6911144955 2273532.67637934),False,711907,1kmE3907N2273,3907000,2273000
893618,43.44457,4.90283,7.91,5-10,POINT (3907656.6713541313 2273608.8456070777),False,711907,1kmE3907N2273,3907000,2273000
896493,43.44728,4.89908,2.81,0-5,POINT (3907372.2893071235 2273929.2803258765),False,711907,1kmE3907N2273,3907000,2273000
896502,43.44639,4.90059,2.67,0-5,POINT (3907488.2209354565 2273822.509836016),False,711907,1kmE3907N2273,3907000,2273000
896716,43.44687,4.89601,3.67,0-5,POINT (3907120.878122695 2273900.8475250704),False,711907,1kmE3907N2273,3907000,2273000
896718,43.44485,4.89964,1.31,0-5,POINT (3907400.419604847 2273657.3894942026),False,711907,1kmE3907N2273,3907000,2273000
956344,43.44785,4.90002,5.86,5-10,POINT (3907452.4139156803 2273987.1544969142),False,711907,1kmE3907N2273,3907000,2273000
982336,43.44527,4.89529,3.06,0-5,POINT (3907051.261258648 2273727.826837246),False,711907,1kmE3907N2273,3907000,2273000
982337,43.44331,4.90266,1.41,0-5,POINT (3907633.996625589 2273470.401082479),False,711907,1kmE3907N2273,3907000,2273000
992670,43.44756,4.89853,2.06,0-5,POINT (3907329.7508114045 2273963.2845112705),False,711907,1kmE3907N2273,3907000,2273000
992671,43.44413,4.89731,3.66,0-5,POINT (3907206.7067279713 2273590.5841802014),False,711907,1kmE3907N2273,3907000,2273000
1076617,43.44694,4.89829,5.15,5-10,POINT (3907305.933912564 2273896.023026442),False,711907,1kmE3907N2273,3907000,2273000
1076619,43.44361,4.89738,4.26,0-5,POINT (3907208.6911144955 2273532.67637934),False,711907,1kmE3907N2273,3907000,2273000
1093755,43.44457,4.90283,7.91,5-10,POINT (3907656.6713541313 2273608.8456070777),False,711907,1kmE3907N2273,3907000,2273000
1096630,43.44728,4.89908,2.81,0-5,POINT (3907372.2893071235 2273929.2803258765),False,711907,1kmE3907N2273,3907000,2273000
1096639,43.44639,4.90059,2.67,0-5,POINT (3907488.2209354565 2273822.509836016),False,711907,1kmE3907N2273,3907000,2273000
1096853,43.44687,4.89601,3.67,0-5,POINT (3907120.878122695 2273900.8475250704),False,711907,1kmE3907N2273,3907000,2273000
1096855,43.44485,4.89964,1.31,0-5,POINT (3907400.419604847 2273657.3894942026),False,711907,1kmE3907N2273,3907000,2273000
1156481,43.44785,4.90002,5.86,5-10,POINT (3907452.4139156803 2273987.1544969142),False,711907,1kmE3907N2273,3907000,2273000
1182473,43.44527,4.89529,3.06,0-5,POINT (3907051.261258648 2273727.826837246),False,711907,1kmE3907N2273,3907000,2273000
1182474,43.44331,4.90266,1.41,0-5,POINT (3907633.996625589 2273470.401082479),False,711907,1kmE3907N2273,3907000,2273000
1192807,43.44756,4.89853,2.06,0-5,POINT (3907329.7508114045 2273963.2845112705),False,711907,1kmE3907N2273,3907000,2273000
1192808,43.44413,4.89731,3.66,0-5,POINT (3907206.7067279713 2273590.5841802014),False,711907,1kmE3907N2273,3907000,2273000
1276754,43.44694,4.89829,5.15,5-10,POINT (3907305.933912564 2273896.023026442),False,711907,1kmE3907N2273,3907000,2273000
1276756,43.44361,4.89738,4.26,0-5,POINT (3907208.6911144955 2273532.67637934),False,711907,1kmE3907N2273,3907000,2273000
1293892,43.44457,4.90283,7.91,5-10,POINT (3907656.6713541313 2273608.8456070777),False,711907,1kmE3907N2273,3907000,2273000
1296767,43.44728,4.89908,2.81,0-5,POINT (3907372.2893071235 2273929.2803258765),False,711907,1kmE3907N2273,3907000,2273000
1296776,43.44639,4.90059,2.67,0-5,POINT (3907488.2209354565 2273822.509836016),False,711907,1kmE3907N2273,3907000,2273000
1296990,43.44687,4.89601,3.67,0-5,POINT (3907120.878122695 2273900.8475250704),False,711907,1kmE3907N2273,3907000,2273000
1296992,43.44485,4.89964,1.31,0-5,POINT (3907400.419604847 2273657.3894942026),False,711907,1kmE3907N2273,3907000,2273000
1356618,43.44785,4.90002,5.86,5-10,POINT (3907452.4139156803 2273987.1544969142),False,711907,1kmE3907N2273,3907000,2273000
1382610,43.44527,4.89529,3.06,0-5,POINT (3907051.261258648 2273727.826837246),False,711907,1kmE3907N2273,3907000,2273000
1382611,43.44331,4.90266,1.41,0-5,POINT (3907633.996625589 2273470.401082479),False,711907,1kmE3907N2273,3907000,2273000
1392944,43.44756,4.89853,2.06,0-5,POINT (3907329.7508114045 2273963.2845112705),False,711907,1kmE3907N2273,3907000,2273000
1392945,43.44413,4.89731,3.66,0-5,POINT (3907206.7067279713 2273590.5841802014),False,711907,1kmE3907N2273,3907000,2273000
1476891,43.44694,4.89829,5.15,5-10,POINT (3907305.933912564 2273896.023026442),False,711907,1kmE3907N2273,3907000,2273000
1476893,43.44361,4.89738,4.26,0-5,POINT (3907208.6911144955 2273532.67637934),False,711907,1kmE3907N2273,3907000,2273000
1484275,43.44345,4.899,13.2,10-50,POINT (3907338.7008209988 2273506.048932123),False,711907,1kmE3907N2273,3907000,2273000
1507025,43.44527,4.89529,3.06,0-5,POINT (3907051.261258648 2273727.826837246),False,711907,1kmE3907N2273,3907000,2273000
1507026,43.44331,4.90266,1.41,0-5,POINT (3907633.996625589 2273470.401082479),False,711907,1kmE3907N2273,3907000,2273000
1568597,43.43881,4.8954,7.84,5-10,POINT (3907014.404712694 2273012.6226686845),False,711907,1kmE3907N2273,3907000,2273000
1568598,43.44394,4.90038,5.18,5-10,POINT (3907453.882855857 2273552.6489741695),False,711907,1kmE3907N2273,3907000,2273000
1568600,43.4477,4.89889,5.18,5-10,POINT (3907359.8827089816 2273976.787475231),False,711907,1kmE3907N2273,3907000,2273000
1611896,43.44694,4.89829,5.15,5-10,POINT (3907305.933912564 2273896.023026442),False,711907,1kmE3907N2273,3907000,2273000
1611898,43.44361,4.89738,4.26,0-5,POINT (3907208.6911144955 2273532.67637934),False,711907,1kmE3907N2273,3907000,2273000
1705453,43.4442,4.89766,4.0,0-5,POINT (3907235.5353295673 2273596.3983002785),False,711907,1kmE3907N2273,3907000,2273000
1706165,43.447,4.89649,2.08,0-5,POINT (3907160.6536064125 2273912.5817051553),False,711907,1kmE3907N2273,3907000,2273000
4269,49.22527,2.91889,8.3,5-10,POINT (3805994.1599546643 2926166.4685475915),False,615664,1kmE3805N2926,3805000,2926000
5344,49.22828,2.91011,8.65,5-10,POINT (3805389.512706025 2926561.401523452),False,615664,1kmE3805N2926,3805000,2926000
191880,49.22527,2.91889,8.3,5-10,POINT (3805994.1599546643 2926166.4685475915),False,615664,1kmE3805N2926,3805000,2926000
192955,49.22828,2.91011,8.65,5-10,POINT (3805389.512706025 2926561.401523452),False,615664,1kmE3805N2926,3805000,2926000
379491,49.22527,2.91889,8.3,5-10,POINT (3805994.1599546643 2926166.4685475915),False,615664,1kmE3805N2926,3805000,2926000
380566,49.22828,2.91011,8.65,5-10,POINT (3805389.512706025 2926561.401523452),False,615664,1kmE3805N2926,3805000,2926000
4270,48.88069,2.79716,11.71,10-50,POINT (3793499.844210217 2888864.9587437315),False,603480,1kmE3793N2888,3793000,2888000
191881,48.88069,2.79716,11.71,10-50,POINT (3793499.844210217 2888864.9587437315),False,603480,1kmE3793N2888,3793000,2888000
379492,48.88069,2.79716,11.71,10-50,POINT (3793499.844210217 2888864.9587437315),False,603480,1kmE3793N2888,3793000,2888000
4271,48.87094,2.79282,24.0,10-50,POINT (3793079.3747615805 2887816.3391917907),False,603479,1kmE3793N2887,3793000,2887000
191882,48.87094,2.79282,24.0,10-50,POINT (3793079.3747615805 2887816.3391917907),False,603479,1kmE3793N2887,3793000,2887000
379493,48.87094,2.79282,24.0,10-50,POINT (3793079.3747615805 2887816.3391917907),False,603479,1kmE3793N2887,3793000,2887000
4272,48.72857,1.58998,5.54,5-10,POINT (3703614.5846498925 2881415.299185805),False,512236,1kmE3703N2881,3703000,2881000
191883,48.72857,1.58998,5.54,5-10,POINT (3703614.5846498925 2881415.299185805),False,512236,1kmE3703N2881,3703000,2881000
379494,48.72857,1.58998,5.54,5-10,POINT (3703614.5846498925 2881415.299185805),False,512236,1kmE3703N2881,3703000,2881000
4273,48.25266,1.9614,5.55,5-10,POINT (3725127.9889664287 2825723.6981919585),False,534044,1kmE3725N2825,3725000,2825000
4274,48.24946,1.97068,5.44,5-10,POINT (3725775.080157241 2825294.8146126443),False,534044,1kmE3725N2825,3725000,2825000
191884,48.25266,1.9614,5.55,5-10,POINT (3725127.9889664287 2825723.6981919585),False,534044,1kmE3725N2825,3725000,2825000
191885,48.24946,1.97068,5.44,5-10,POINT (3725775.080157241 2825294.8146126443),False,534044,1kmE3725N2825,3725000,2825000
379495,48.25266,1.9614,5.55,5-10,POINT (3725127.9889664287 2825723.6981919585),False,534044,1kmE3725N2825,3725000,2825000
379496,48.24946,1.97068,5.44,5-10,POINT (3725775.080157241 2825294.8146126443),False,534044,1kmE3725N2825,3725000,2825000
4275,47.95945,0.20673,8.01,5-10,POINT (3591657.16108092 2809082.549849245),False,409423,1kmE3591N2809,3591000,2809000
191886,47.95945,0.20673,8.01,5-10,POINT (3591657.16108092 2809082.549849245),False,409423,1kmE3591N2809,3591000,2809000
379497,47.95945,0.20673,8.01,5-10,POINT (3591657.16108092 2809082.549849245),False,409423,1kmE3591N2809,3591000,2809000
4276,46.89404,0.57007,11.43,10-50,POINT (3603952.060569718 2687954.452724945),False,419784,1kmE3603N2687,3603000,2687000
191887,46.89404,0.57007,11.43,10-50,POINT (3603952.060569718 2687954.452724945),False,419784,1kmE3603N2687,3603000,2687000
379498,46.89404,0.57007,11.43,10-50,POINT (3603952.060569718 2687954.452724945),False,419784,1kmE3603N2687,3603000,2687000
4277,46.89143,0.58482,19.11,10-50,POINT (3605031.251354245 2687523.762183138),False,421544,1kmE3605N2687,3605000,2687000
191888,46.89143,0.58482,19.11,10-50,POINT (3605031.251354245 2687523.762183138),False,421544,1kmE3605N2687,3605000,2687000
379499,46.89143,0.58482,19.11,10-50,POINT (3605031.251354245 2687523.762183138),False,421544,1kmE3605N2687,3605000,2687000
4278,45.60012,0.06969,7.51,5-10,POINT (3547747.33491668 2550264.619309874),False,371193,1kmE3547N2550,3547000,2550000
191889,45.60012,0.06969,7.51,5-10,POINT (3547747.33491668 2550264.619309874),False,371193,1kmE3547N2550,3547000,2550000
379500,45.60012,0.06969,7.51,5-10,POINT (3547747.33491668 2550264.619309874),False,371193,1kmE3547N2550,3547000,2550000
4279,45.25483,-0.68271,8.85,5-10,POINT (3484369.075346634 2520364.080784999),False,316473,1kmE3484N2520,3484000,2520000
191890,45.25483,-0.68271,8.85,5-10,POINT (3484369.075346634 2520364.080784999),False,316473,1kmE3484N2520,3484000,2520000
379501,45.25483,-0.68271,8.85,5-10,POINT (3484369.075346634 2520364.080784999),False,316473,1kmE3484N2520,3484000,2520000
4280,44.91274,-0.53032,7.09,5-10,POINT (3491121.2593582477 2481000.612999278),False,322514,1kmE3491N2481,3491000,2481000
191891,44.91274,-0.53032,7.09,5-10,POINT (3491121.2593582477 2481000.612999278),False,322514,1kmE3491N2481,3491000,2481000
379502,44.91274,-0.53032,7.09,5-10,POINT (3491121.2593582477 2481000.612999278),False,322514,1kmE3491N2481,3491000,2481000
4281,44.9103,-0.51634,7.41,5-10,POINT (3492178.4791681515 2480576.5236377236),False,323384,1kmE3492N2480,3492000,2480000
191892,44.9103,-0.51634,7.41,5-10,POINT (3492178.4791681515 2480576.5236377236),False,323384,1kmE3492N2480,3492000,2480000
379503,44.9103,-0.51634,7.41,5-10,POINT (3492178.4791681515 2480576.5236377236),False,323384,1kmE3492N2480,3492000,2480000
4282,44.7282,-0.82615,10.71,10-50,POINT (3465177.0374106397 2464032.495232817),False,300102,1kmE3465N2464,3465000,2464000
191893,44.7282,-0.82615,10.71,10-50,POINT (3465177.0374106397 2464032.495232817),False,300102,1kmE3465N2464,3465000,2464000
379504,44.7282,-0.82615,10.71,10-50,POINT (3465177.0374106397 2464032.495232817),False,300102,1kmE3465N2464,3465000,2464000
4283,44.72581,-0.81241,23.82,10-50,POINT (3466218.1695617395 2463612.023362667),False,300958,1kmE3466N2463,3466000,2463000
191894,44.72581,-0.81241,23.82,10-50,POINT (3466218.1695617395 2463612.023362667),False,300958,1kmE3466N2463,3466000,2463000
379505,44.72581,-0.81241,23.82,10-50,POINT (3466218.1695617395 2463612.023362667),False,300958,1kmE3466N2463,3466000,2463000
4284,44.7166,-0.81551,7.08,5-10,POINT (3465834.89013567 2462634.140620949),False,300100,1kmE3465N2462,3465000,2462000
191895,44.7166,-0.81551,7.08,5-10,POINT (3465834.89013567 2462634.140620949),False,300100,1kmE3465N2462,3465000,2462000
379506,44.7166,-0.81551,7.08,5-10,POINT (3465834.89013567 2462634.140620949),False,300100,1kmE3465N2462,3465000,2462000
4285,43.86802,-1.14434,7.72,5-10,POINT (3426814.3024401404 2373156.117820073),False,269184,1kmE3426N2373,3426000,2373000
191896,43.86802,-1.14434,7.72,5-10,POINT (3426814.3024401404 2373156.117820073),False,269184,1kmE3426N2373,3426000,2373000
379507,43.86802,-1.14434,7.72,5-10,POINT (3426814.3024401404 2373156.117820073),False,269184,1kmE3426N2373,3426000,2373000
5337,47.3916,1.92169,7.13,5-10,POINT (3712045.383607244 2730819.299393694),False,520994,1kmE3712N2730,3712000,2730000
192948,47.3916,1.92169,7.13,5-10,POINT (3712045.383607244 2730819.299393694),False,520994,1kmE3712N2730,3712000,2730000
380559,47.3916,1.92169,7.13,5-10,POINT (3712045.383607244 2730819.299393694),False,520994,1kmE3712N2730,3712000,2730000
5338,47.38914,1.90748,18.41,10-50,POINT (3710950.186958281 2730664.348415999),False,519009,1kmE3710N2730,3710000,2730000
192949,47.38914,1.90748,18.41,10-50,POINT (3710950.186958281 2730664.348415999),False,519009,1kmE3710N2730,3710000,2730000
380560,47.38914,1.90748,18.41,10-50,POINT (3710950.186958281 2730664.348415999),False,519009,1kmE3710N2730,3710000,2730000
5339,47.40073,1.91822,26.24,10-50,POINT (3711892.1828081864 2731857.397301768),False,520002,1kmE3711N2731,3711000,2731000
192950,47.40073,1.91822,26.24,10-50,POINT (3711892.1828081864 2731857.397301768),False,520002,1kmE3711N2731,3711000,2731000
380561,47.40073,1.91822,26.24,10-50,POINT (3711892.1828081864 2731857.397301768),False,520002,1kmE3711N2731,3711000,2731000
5340,47.39828,1.90402,71.99,50-100,POINT (3710798.032963569 2731703.5028930674),False,519010,1kmE3710N2731,3710000,2731000
192951,47.39828,1.90402,71.99,50-100,POINT (3710798.032963569 2731703.5028930674),False,519010,1kmE3710N2731,3710000,2731000
380562,47.39828,1.90402,71.99,50-100,POINT (3710798.032963569 2731703.5028930674),False,519010,1kmE3710N2731,3710000,2731000
5341,49.23937,6.84891,11.87,10-50,POINT (4091562.0743649686 2907839.911768531),False,885878,1kmE4091N2907,4091000,2907000
192952,49.23937,6.84891,11.87,10-50,POINT (4091562.0743649686 2907839.911768531),False,885878,1kmE4091N2907,4091000,2907000
380563,49.23937,6.84891,11.87,10-50,POINT (4091562.0743649686 2907839.911768531),False,885878,1kmE4091N2907,4091000,2907000
5342,48.61786,2.36411,8.26,5-10,POINT (3758952.4188213204 2862969.713641784),False,567207,1kmE3758N2862,3758000,2862000
192953,48.61786,2.36411,8.26,5-10,POINT (3758952.4188213204 2862969.713641784),False,567207,1kmE3758N2862,3758000,2862000
380564,48.61786,2.36411,8.26,5-10,POINT (3758952.4188213204 2862969.713641784),False,567207,1kmE3758N2862,3758000,2862000
5343,49.35657,6.74888,11.63,10-50,POINT (4084849.9244354255 2921177.887975856),False,880296,1kmE4084N2921,4084000,2921000
25544,49.35901,6.74828,0.83,> 100,POINT (4084818.166457467 2921450.9081306066),False,880296,1kmE4084N2921,4084000,2921000
45547,49.35749,6.74873,7.32,5-10,POINT (4084843.4823616324 2921280.585188398),False,880296,1kmE4084N2921,4084000,2921000
93554,49.36019,6.73962,1.28,0-5,POINT (4084195.3563354285 2921609.856288307),False,880296,1kmE4084N2921,4084000,2921000
93555,49.35973,6.74617,1.69,0-5,POINT (4084668.5076893168 2921537.6807371886),False,880296,1kmE4084N2921,4084000,2921000
93557,49.36113,6.73925,1.14,0-5,POINT (4084173.0584105384 2921715.4849490626),False,880296,1kmE4084N2921,4084000,2921000
93558,49.36064,6.74578,1.14,0-5,POINT (4084644.6036116267 2921640.0384906),False,880296,1kmE4084N2921,4084000,2921000
93964,49.3572,6.74623,1.16,0-5,POINT (4084660.6283135666 2921256.395280474),False,880296,1kmE4084N2921,4084000,2921000
107333,49.35848,6.74503,3.22,0-5,POINT (4084579.7228496075 2921402.4647560483),False,880296,1kmE4084N2921,4084000,2921000
151501,49.35741,6.75053,9.04,5-10,POINT (4084973.7414830336 2921265.918952325),False,880296,1kmE4084N2921,4084000,2921000
176781,49.35949,6.7456,1.4,0-5,POINT (4084625.977855259 2921512.847528828),False,880296,1kmE4084N2921,4084000,2921000
176782,49.35717,6.73865,0.93,> 100,POINT (4084110.319866995 2921277.4475405873),False,880296,1kmE4084N2921,4084000,2921000
176783,49.35615,6.74418,1.11,0-5,POINT (4084506.756775968 2921146.325848359),False,880296,1kmE4084N2921,4084000,2921000
176784,49.35514,6.74969,1.11,0-5,POINT (4084901.8086514543 2921016.40900606),False,880296,1kmE4084N2921,4084000,2921000
192954,49.35657,6.74888,11.63,10-50,POINT (4084849.9244354255 2921177.887975856),False,880296,1kmE4084N2921,4084000,2921000
213155,49.35901,6.74828,0.83,> 100,POINT (4084818.166457467 2921450.9081306066),False,880296,1kmE4084N2921,4084000,2921000
233158,49.35749,6.74873,7.32,5-10,POINT (4084843.4823616324 2921280.585188398),False,880296,1kmE4084N2921,4084000,2921000
281165,49.36019,6.73962,1.28,0-5,POINT (4084195.3563354285 2921609.856288307),False,880296,1kmE4084N2921,4084000,2921000
281166,49.35973,6.74617,1.69,0-5,POINT (4084668.5076893168 2921537.6807371886),False,880296,1kmE4084N2921,4084000,2921000
281168,49.36113,6.73925,1.14,0-5,POINT (4084173.0584105384 2921715.4849490626),False,880296,1kmE4084N2921,4084000,2921000
281169,49.36064,6.74578,1.14,0-5,POINT (4084644.6036116267 2921640.0384906),False,880296,1kmE4084N2921,4084000,2921000
281575,49.3572,6.74623,1.16,0-5,POINT (4084660.6283135666 2921256.395280474),False,880296,1kmE4084N2921,4084000,2921000
294944,49.35848,6.74503,3.22,0-5,POINT (4084579.7228496075 2921402.4647560483),False,880296,1kmE4084N2921,4084000,2921000
339112,49.35741,6.75053,9.04,5-10,POINT (4084973.7414830336 2921265.918952325),False,880296,1kmE4084N2921,4084000,2921000
364392,49.35949,6.7456,1.4,0-5,POINT (4084625.977855259 2921512.847528828),False,880296,1kmE4084N2921,4084000,2921000
364393,49.35717,6.73865,0.93,> 100,POINT (4084110.319866995 2921277.4475405873),False,880296,1kmE4084N2921,4084000,2921000
364394,49.35615,6.74418,1.11,0-5,POINT (4084506.756775968 2921146.325848359),False,880296,1kmE4084N2921,4084000,2921000
364395,49.35514,6.74969,1.11,0-5,POINT (4084901.8086514543 2921016.40900606),False,880296,1kmE4084N2921,4084000,2921000
380565,49.35657,6.74888,11.63,10-50,POINT (4084849.9244354255 2921177.887975856),False,880296,1kmE4084N2921,4084000,2921000
409389,49.35901,6.74828,0.83,> 100,POINT (4084818.166457467 2921450.9081306066),False,880296,1kmE4084N2921,4084000,2921000
429392,49.35749,6.74873,7.32,5-10,POINT (4084843.4823616324 2921280.585188398),False,880296,1kmE4084N2921,4084000,2921000
477399,49.36019,6.73962,1.28,0-5,POINT (4084195.3563354285 2921609.856288307),False,880296,1kmE4084N2921,4084000,2921000
477400,49.35973,6.74617,1.69,0-5,POINT (4084668.5076893168 2921537.6807371886),False,880296,1kmE4084N2921,4084000,2921000
477402,49.36113,6.73925,1.14,0-5,POINT (4084173.0584105384 2921715.4849490626),False,880296,1kmE4084N2921,4084000,2921000
477403,49.36064,6.74578,1.14,0-5,POINT (4084644.6036116267 2921640.0384906),False,880296,1kmE4084N2921,4084000,2921000
477809,49.3572,6.74623,1.16,0-5,POINT (4084660.6283135666 2921256.395280474),False,880296,1kmE4084N2921,4084000,2921000
537361,49.35672,6.75075,10.98,10-50,POINT (4084986.3774325354 2921188.5512116803),False,880296,1kmE4084N2921,4084000,2921000
542869,49.35848,6.74503,3.22,0-5,POINT (4084579.7228496075 2921402.4647560483),False,880296,1kmE4084N2921,4084000,2921000
587037,49.35741,6.75053,9.04,5-10,POINT (4084973.7414830336 2921265.918952325),False,880296,1kmE4084N2921,4084000,2921000
